final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
abietinaria spp; amphisbetia spp,abietinaria spp; amphisbetia spp,point contact,117225,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,NULL,3,Abietinaria/Amphisbetia spp,1614
acanthancora cyanocrypta,hymenamphiastra cyanocrypta,point contact,169126,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Acanthancora,Acanthancora cyanocrypta,4,Acanthancora cyanocrypta,169126
acanthinucella paucilirata,acanthina paucilirata,quadrat,404468,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,Acanthinucella paucilirata,3,Acanthinucella paucilirata,404468
acanthinucella spirata; acanthinucella punctulata,acanthinucella spirata; acanthinucella punctulata,quadrat,403857,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,NULL,1,Acanthinucella spirata/punctulata,403857
acarnus erithacus,acarnus erithacus,point contact,167343,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Demospongiae,Poecilosclerida,Acarnidae,Acarnus,Acarnus erithacus,4,Acarnus erithacus,167343
acmaea mitra,acmaea mitra,quadrat,456582,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,NULL,Acmaeidae,Acmaea,Acmaea mitra,2,Acmaea mitra,456582
acrochaetium spp,acrochaetium spp,NA,143799,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Acrochaetiales,Acrochaetiaceae,Acrochaetium,NULL,5,Acrochaetium spp,143799
acrosiphonia arcta,acrosiphonia arcta,point contact,144407,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,Chlorophyceae,Acrosiphoniales,Acrosiphoniaceae,Acrosiphonia,Acrosiphonia arcta,4,Acrosiphonia/Cladophora spp,1304953
acrosiphonia spp,acrosiphonia spp,point contact,143803,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,Chlorophyceae,Acrosiphoniales,Acrosiphoniaceae,Acrosiphonia,NULL,2,Acrosiphonia/Cladophora spp,1304953
acrosiphonia spp; cladophora spp,acrosiphonia spp; cladophora spp,point contact,146216,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,NULL,NULL,NULL,NULL,4,Acrosiphonia/Cladophora spp,1304953
acrosorium ciliolatum,acrosorium ciliolatum,point contact,295874,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,Acrosorium ciliolatum,3,Acrosorium spp,143875
acrosorium spp,acrosorium spp,NA,143875,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,NULL,5,Acrosorium spp,143875
adula spp; lithophaga spp,adula spp; lithophaga spp,point contact,211,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,NULL,NULL,4,Adula/Lithophaga spp,211
aeolidia loui,aeolidia loui,quadrat,880372,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia loui,3,Aeolidia loui,880372
aeolidia papillosa,aeolidia papillosa,quadrat,138709,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia papillosa,3,Aeolidia papillosa,138709
aeolidia spp,aeolidia spp,NA,137630,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,NULL,5,Aeolidia spp,137630
agathistoma eiseni,tegula eiseni,quadrat,1780762,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Agathistoma,Agathistoma eiseni,1,Agathistoma eiseni,1780762
aglaophenia spp,aglaophenia spp,point contact,116999,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,NULL,3,Aglaophenia spp,116999
aglaothamnion spp,aglaothamnion spp,point contact,143825,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Aglaothamnion,NULL,4,Aglaothamnion spp,143825
ahnfeltia fastigiata,ahnfeltia fastigiata,point contact,372235,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,Ahnfeltia fastigiata,3,Ahnfeltia fastigiata,372235
